Name of the Programme,Duration,Seats,Eligibility,Fees (Rs.) Annual,Admission Process
Diploma in Electrical Engineering (AICTE Approved),3 Years,30 + EWS,10th or equivalent from a recognized board with Science and Maths as compulsory subjects,"45,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
Diploma in Mechanical Engineering (AICTE Approved),3 Years,30 + EWS,10th or equivalent from a recognized board with Science and Maths as compulsory subjects,"45,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
Diploma in Metallurgy & Material Technology (AICTE Approved),3 Years,30 + EWS,10th or equivalent from a recognized board with Science and Maths as compulsory subjects,"45,200",Through CSJMU Admission Portal for Direct Admissions based on Merit
Diploma in Fashion Technology,1 Year,30 + EWS,10+2 from a recognized board in any stream,32200,Through CSJMU Admission Portal for Direct Admissions Based on Merit
B.Sc. (Hons.) Physics / B.Sc. (Hons.) Chemistry / B.Sc. (Hons.) Mathematics,3 Years,30 / 30 / 40,"Passed 12th class Examination with Physics, Chemistry, Mathematics","34,400",Direct Merit based
B.Sc. (Combination) / B.Sc. Honours / B.Sc. Honours with Research,3 Years / 4 Years,150,"Passed 12th class Examination with Physics, Chemistry, Mathematics or Physics, Chemistry, Biology","25,400",Direct Merit based
M.Sc. Physics,2 Years,15,Passed B.Sc. Examination with Physics,"29,400",Direct Merit based
M.Sc. Chemistry,2 Years,15,Passed B.Sc. Examination with Chemistry,"29,400",Direct Merit based
M.Sc. Industrial Chemistry,2 Years,15,Passed B.Sc. Examination with Chemistry,"29,400",Direct Merit based
M.Sc. Mathematics,2 Years,15,Passed B.Sc. Examination with Mathematics,"29,400",Direct Merit based
M.Sc. Mathematics with Artificial Intelligence and Data Science (New),2 Years,30,Passed B.Sc. Examination with Mathematics / Computer Science / Information Technology / Computer Application,"35,400",Direct Merit based
M.Sc. in Chemistry with specialization in Fragrance & Flavour Chemistry (New),2 Years,15,Passed B.Sc. Examination with Chemistry,"1,00,400",Direct Merit based
M.Sc. Environmental Science and Technology,2 Years,30,Bachelor degree in Sciences / Applied Sciences with 40% marks in aggregate,"45,400",Direct Merit based
M.Sc. Environmental Science and Technology (Lateral Entry),1 Year,As per rules,Lateral Entry for NSI Kanpur (DQCES Students),"45,400",Direct Merit based
M.Sc. Environment Science with specialization in Sustainability and Governance (New),2 Years,15,Passed B.Sc. Examination with Chemistry / Environmental Science,"50,400",Direct Merit based
MA Geography,2 Years,30,Passed B.A. Examination with Geography,"15,400",Direct Merit based
M.Sc. Geography with specialization in GIS and Remote Sensing,2 Years,30,Passed B.Sc Examination with Geography / Physics / Mathematics,"15,400",Direct Merit based
Certificate course in Vedic Mathematics,6 Months,20,Passed 10+2 with Mathematics / Physics / Chemistry,"11,400",Direct Merit based
Bachelor of Physiotherapy (BPT),4 Years + 6-month internship,120,"10+2 Science pass students with minimum of 50% marks in Physics, Chemistry and Biology (45% for SC/ST)","75,200",Merit Based
B.Sc. in Medical Laboratory Technology (B.Sc. MLT),3 Years + 6-month internship,120,"10+2 Science pass students with minimum of 50% marks in Physics, Chemistry and Biology (45% for SC/ST)","75,200",Merit Based
Bachelor of Optometry (B.Optom.),3 Years + 1-Year internship,40,"10+2 Science pass students with minimum of 45% marks in Physics, Chemistry and Biology or Physics, Chemistry and Mathematics (40% for SC/ST)","67,200",Merit Based
Bachelor in Medical Radiology & Imaging Technology (BMRIT),3 Years + 1-Year internship,60,"10+2 Science pass students with minimum of 45% marks in Physics, Chemistry and Biology (40% for SC/ST)","75,200",Merit Based
B.Sc. in Medical Microbiology (B.Sc. MM),3 Years,40,"10+2 Science pass students with minimum of 50% marks in Physics, Chemistry and Biology (45% for SC/ST)","57,200",Merit Based
B.Sc. in Human Nutrition (B.Sc. HN),3 Years,40,10+2 Science/Arts/Commerce pass students,"57,200",Merit Based
Bachelor in Operation Theatre Technology (BOTT) (New),3 Years + 1-Year internship,40,"10+2 from a recognized Board with minimum of 45% in Physics, Chemistry and Biology or Physics, Chemistry and Mathematics (40% for SC/ST students)","75,200",Merit Based
Master of Physiotherapy in Orthopaedics/Sports/Cardiopulmonary/Neurology (MPT),2 Years,60,B.P.T. pass students with minimum of 50% marks (45% for SC/ST),"89,200",Merit Based
M.Sc. in Medical Laboratory Technology (M.Sc. MLT)  Clinical Biochemistry / Medical Microbiology and Immunology / Pathology,2 Years,30,B.Sc. MLT / B.Sc. MM pass students with minimum of 55% marks (50% for SC/ST),"89,200",Merit Based
M.Sc. in Human Nutrition (M.Sc. HN),2 Years,30,Graduation in any Science Stream from UGC recognized University,"49,200",Merit Based
Master in Medical Radiology and Imaging Technology (MMRIT) (New),2 Years,30,Bachelor in Medical Radiology & Imaging Technology or equivalent course pass from any recognized institution/university with minimum 50% marks (45% for SC/ST students),"89,200",Merit Based
Master in Optometry (M.Optom.) (New),2 Years,30,Bachelor of Optometry pass from any recognized institution/university with minimum 50% marks (45% for SC/ST students),"89,200",Merit Based
B. Pharm. (PCI Approved),4 Years,100 + EWS,"10+2, Science Stream (PCM/PCB) (or any other qualification approved by PCI)","1,11,200",Through Screening Test conducted by School
B. Pharm (Lateral Entry),3 Years,10,D. Pharm from PCI approved college,"1,11,200",Merit based / Interview
D. Pharm. (PCI Approved),2 Years,60 + EWS,"10+2, Science Stream (PCM/PCB) (or any other qualification approved by PCI)","1,01,200",Merit based / Interview
M. Pharm. (Pharmaceutics) (PCI Approved),2 Years,15 + EWS,B. Pharm. with minimum 55% marks,"90,200",Merit based / Interview (Preference to GPAT Qualified Candidates)
M. Pharm. (Pharmaceutical Chemistry) (PCI Approved),2 Years,15 + EWS,B. Pharm. with minimum 55% marks,"90,200",Merit based / Interview (Preference to GPAT Qualified Candidates)
M. Pharm. (Pharmacology) (PCI Approved),2 Years,15 + EWS,B. Pharm. with minimum 55% marks,"90,200",Merit based / Interview (Preference to GPAT Qualified Candidates)
M. Pharm. (Pharmacognosy) (PCI Approved),2 Years,15 + EWS,B. Pharm. with minimum 55% marks,"90,200",Merit based / Interview (Preference to GPAT Qualified Candidates)
B.A.(Hons.) English,4 Years,90,10+2 Examination Passed,"26,000",Merit based
B.A. Combination / B.A. Honours / B.A. Honours with Research,3 Years / 4 Years,30,10+2 Examination Passed,"16,000",Merit based
M.A. English,2 Years,60,Graduation in any stream,"13,000",Merit based
M.A. Hindi,2 Years,30,Graduation in any stream,"13,000",Merit based
M.A. Sanskrit,2 Years,30,Graduation in any stream,"11,000",Merit based
Certificate Course in German,1 Year,30,10+2 Examination Passed,"16,000",Merit based
Certificate Course in French,1 Year,30,10+2 Examination Passed,"16,000",Merit based
Certificate Course in Russian,1 Year,20,10+2 Examination Passed,"16,000",Merit based
Certificate Course in Spanish (New),1 Year,20,10+2 Examination Passed,"16,000",Merit based
Certificate Course in Mandarin (New),1 Year,20,10+2 Examination Passed,"16,000",Merit based
MA (Jain Darshan) (New),2 Years,30,Graduation in any stream,"7,000",Merit based
MA (Prakrit) (New),2 Years,50,Graduation in any stream,"7,000",Merit based
Certificate in Jain Darshan (New),1 Year,30,10+2 Examination Passed,"2,500",Merit based
Certificate in Prakrit (New),1 Year,30,10+2 Examination Passed,"2,500",Merit based
Certificate in Jain Vidhi-Vidhan (New),1 Year,50,10+2 Examination Passed,"7,200",Merit based
"Certificate in Vaastu, Jyotish Muhurat (New)",1 Year,50,10+2 Examination Passed,"10,200",Merit based
B.A.LL.B. (Hons.),5 Years,60+ EWS,"Intermediate (10+2), from any stream with minimum 50% marks (5% relaxation for OBC and 10% relaxation for SC/ST)","66,200",Merit based
B.B.A LL.B. (Hons.),5 Years,60+ EWS,"Intermediate (10+2), from any stream with minimum 50% marks (5% relaxation for OBC and 10% relaxation for SC/ST)","71,200",Merit based
L.L.B.(Hons.)  Approved from BCI,3 Years,60+ EWS,Graduation in any Discipline with minimum 45% marks (5% relaxation for SC/ST),"71,200",Merit based
L.L.M. (2 Years),2 Years,65+ EWS,Graduation in any Law (3-year LLB) or Integrated Law program (5-year LLB) with minimum 50% marks,"65,200",Through Screening Test + Interview
L.L.M. (1 Year),1 Year,120+ EWS,"Graduation in any Law (3 year LLB) or Integrated Law program (5 year LLB) with minimum 50% (45% for reserved category, persons with disability)","1,45,200",Merit based
Bachelor of Hotel Management & Catering Technology (AICTE Approved),4 Years,90,"Intermediate (10+2), From any stream with minimum aggregate marks 40%","56,000",Merit based
Master of Hotel Management and Catering Technology,2 Years,20,Bachelor Degree in HMCT/Hospitality/Hotel Administrator/Hotel Management/Culinary Art/Hospitality Management/Culinary Science from a recognized university/Institute,"50,000",Merit based
Diploma in Front Office,1 Year + 6 Months Internship,40,"Intermediate (10+2), from any stream with minimum aggregate marks of 40%","31,000",Merit based
Diploma in Food & Beverage Service,1 Year + 6 Months Internship,40,"Intermediate (10+2), from any stream with minimum aggregate marks of 40%","31,000",Merit based
Diploma in Food Production,1 Year + 6 Months Internship,40,"Intermediate (10+2), from any stream with minimum aggregate marks of 40%","36,000",Merit based
Diploma in Bakery & Confectionery,1 Year + 6 Months Internship,40,"Intermediate (10+2), from any stream with minimum aggregate marks of 40%","36,000",Merit based
M.A. Music (Vocal),2 Years,30,Graduation from any discipline,"10,200",Merit Based
M.A. Music (Tabla),2 Years,10,Graduation from any discipline,"10,200",Merit Based
Master of Performing Arts (Kathak),2 Years,20,Graduation from any discipline,"13,200",Merit Based
Bachelor of Performing Arts (Tabla),3 Years,10,10+2 from any Recognized Board,"16,200",Merit Based
Bachelor of Performing Arts (Vocal),3 Years,15,10+2 from any Recognized Board,"16,200",Merit Based
Bachelor of Performing Arts (Kathak),3 Years,20,10+2 from any Recognized Board,"16,200",Merit Based
Bachelor of Fine Arts (Painting),4 Years,45,10+2 or equivalent examination,"29,840",Merit Based
Bachelor of Fine Arts (Applied Arts),4 Years,60,10+2 or equivalent examination,"29,840",Merit Based
Bachelor of Fine Arts (Sculpture),4 Years,15,10+2 or equivalent examination,"29,840",Merit Based
Master of Fine Arts (Painting),2 Years,70,Bachelor of Fine Arts degree in relevant specialization,"42,200",Merit Based
Certificate Course (Painting),1 Year,10,Passed 10th class examination,"17,200",Merit Based
Certificate Course (Applied Art),1 Year,10,Passed 10th class examination,"17,200",Merit Based
Certificate Course (Sculpture),1 Year,10,Passed 10th class examination,"17,200",Merit Based
Certificate Course (Photography),1 Year,15,Passed 10th class examination,"25,200",Merit Based
Certificate Course (Graphic Design),1 Year,15,Passed 10th class examination,"25,200",Merit Based
Certificate Course (3D Animation),1 Year,15,Passed 10th class examination,"55,200",Merit based
Certificate Course (3D Modeling),1 Year,15,Passed 10th class examination,"55,200",Merit based
B.Ed.,2 Years,100 + EWS,Graduation in any Stream,"56,250",UP Joint Entrance Examination
M.Ed.,2 Years,50+ EWS,B.Ed./B.EL.Ed./B.A.-B.Ed./B.Sc.-B.Ed. or equivalent / D.El.Ed with graduation. Minimum 50% or equivalent grade,"17,000",Through Screening Test conducted by department
Integrated Teacher Education Programme (Science) (New) (subject to approval from NCTE),4 Years,50,10+2 pass with minimum 50% marks or plus two examination or its equivalent (under 5+3+3+4 pattern) from a recognised board,"50,000",Through National Testing Agency (NTA) and As per NCTE norms/University rules
Integrated Teacher Education Programme (Arts) (New) (subject to approval from NCTE),4 Years,50,10+2 pass with minimum 50% marks or plus two examination or its equivalent (under 5+3+3+4 pattern) from a recognised board,"50,000",Through National Testing Agency (NTA) and As per NCTE norms/University rules
Certificate course on Digigogy (New),6 Months,30,10+2 pass in any stream,"6,000",Direct
Certificate course on Educational Leadership and Management (New),6 Months,30,Graduation in any Stream,"6,000",Direct
M.P.Ed. (Master of Physical Education),2 Years,40,Bachelor of Physical Education (B.P.E) or (B.PEd.) or B.Sc.(Hons.)/B.A.(Hons.) in Health and Physical Education,"55,200",Direct
B.P.Ed. (Bachelor of Physical Education),2 Years,50,Graduation degree in any discipline with Sports achievement certificate,"45,825",Direct
B.P.E.S (Bachelor of Physical Education and Sports),3 Years,90,10+2 from any recognized Board,"16,200",Direct
B.Sc. Yoga Science,3 Years,40,10+2 from any recognized Board,"27,200",Direct
M.A. Yoga,2 Years,20,Graduation degree in any discipline,"37,200",Direct
Post Graduate Diploma in Yoga Education (PGDYED),1 Year,20,Graduation degree in any discipline,"21,700",Direct
B.A.(Hons.) Economics,3 Years,60,10+2 or its equivalent in any stream,"26,200",Direct
M.A. Economics (On Campus),2 Years,30,Graduation in any Discipline,"23,200",Direct
M.A. in Hindu Studies,2 Years,30,Graduation in any stream with minimum 40% marks,"11,200",Direct
M.A. in Public Health,2 Years,30,Graduation in any stream with minimum 40% marks,"16,200",Direct
B.A. (Hons.) Philosophy,3 years,30,10+2 or its equivalent in any stream with minimum 40% marks,"19,200",Direct
B.A. (Hons.) Political Science,3 years,30,10+2 or its equivalent in any stream with minimum 40% marks,"26,200",Direct
B.A. Combination / B.A. Honours / B.A. Honours with Research,3 Years / 4 Years,70,10+2 or its equivalent in any stream with minimum 40% marks,"16,200",Direct
B.A. (Hons.) Psychology,3 Years,40,10+2 or its equivalent in any stream with minimum 40% marks,"23,200",Direct
B.Sc. (Hons.) Clinical Psychology (New),4 Years,20,10+2 with science stream,"1,30,200",Entrance exam
M.A. Clinical Psychology (New),2 Years,30,4 year B.A./B.Sc. degree in Psychology from a UGC university with minimum 55% marks (50% for SC/ST). Candidates with 3 year graduation shall have to pass fourth year Bridge Course or first year of Masters Programme in Psychology with minimum 55% marks.,"1,55,200",Entrance examination consisting of written test (70%) and interview (30%)
PG Diploma in Guidance and Counselling,1 Year,40,"Graduation in Humanities, Social Science and Management with any Stream with minimum 40% marks","29,200",Merit Based
Master of Social Work (MSW),2 Years,60,Graduation in any stream with minimum 40% marks,"40,200",Merit based
M.A. Sociology,2 Years,30,Graduation in any stream with minimum 40% marks,"23,200",Merit based
B.A.(Hons.) Sociology,3 Years,40,10+2 or its equivalent in any stream with minimum 40% marks,"23,200",Merit based
Bachelor of Library & Information Science (B.Lib.&I.Sc.),1 Year,40,Graduation in any stream with minimum 40% marks,"30,200",Merit based
Master of Library & Information Science (M.Lib. & I.Sc.),1 Year,40,B.Lib & I.Sc. from recognized institute with minimum 40% marks,"40,200",Merit based
B.A. (Journalism and Mass Communication),3 Years,50,10+2 pass in Science/Arts/Commerce stream,"31,200",Direct
M.A. (Journalism and Mass Communication),2 Years,50,10+2+3 pass in Science/Arts/Commerce stream,"41,200",Direct
M.A. (Journalism and Mass Communication) Lateral entry,1 Year,10,1 Year PG Diploma in Journalism & Mass Communication,"42,200",Direct
Post Graduate Diploma in Journalism and Mass Communication,1 Year,30,10+2+3 pass in Science/Arts/Commerce stream,"42,200",Direct
M.A.(Jyotirvigyan),2 Years,35,Graduation in any stream,"10,200",Direct
Diploma in Karmkand,1 Year,30,10+2 with Science /Arts/ Commerce,"9,200",Direct
P.G. Diploma in Vastu Shastra (New),1 Year,30,Graduation in any stream,"11,200",Direct
MBA (AICTE Approved),2 Years,240,Graduation with minimum 50% aggregate marks,"90,200",Merit (Group Discussion and P.I. / CAT/SEE/and MAT / as decided by the University)
M.Com,2 Years,30,Graduation from Commerce stream with aggregate marks as per university rules,"21,200",Merit
Master of Hospital Administration (MHA),2 Years,60,Graduation with aggregate marks as per university rules,"1,21,200",Group Discussion and Personal Interview as decided by the university
BBA (AICTE Approved),3 Years,480,"Intermediate (10+2), from any stream with aggregate marks as per university rules","65,200",Merit
B.Com. (Hons),3 Years,240,"Intermediate (10+2), from any stream with aggregate marks as per university rules","60,200",Merit
Integrated MBA (5 Year),5 Years,30,"Intermediate (10+2), from any stream with aggregate marks as per university rules","77,700",Merit
B.Sc. (Hons.) Agriculture,4 Years,180,10+2 with Agriculture/Mathematics/Biology,"41,200",Merit Based
M.Sc. Ag. (Agronomy),2 Years,30,B.Sc. (Hons.) Agriculture / B.Sc. Agriculture,"51,200",Merit Based
M.Sc. Ag. Horticulture (Fruit Science),2 Years,10,B.Sc. (Hons.) Agriculture / B.Sc. Agriculture / B.Sc. Horticulture,"51,200",Merit Based
M.Sc. Ag. Horticulture (Vegetable Science),2 Years,10,B.Sc. (Hons.) Agriculture / B.Sc. Agriculture / B.Sc. Horticulture,"51,200",Merit Based
M.Sc. Ag. Horticulture (Floriculture & Land Scaping),2 Years,10,B.Sc. (Hons.) Agriculture / B.Sc. Agriculture / B.Sc. Horticulture,"51,200",Merit Based
M.Sc. (Food Science & Technology),2 Years,40,"B.Sc. (Food Technology/Bio/Maths/Home Science/Agriculture/Food processing and Management, B.Tech (Food Technology/Food processing/Food engineering), B.Voc. (Food processing and management) and other allied subjects","44,400",Merit Based
